species_id	log2fc	color
ACTA2__cyto	0.374	#d7191c
BST2__ext	0.262	#d7191c
CD31__pm	0.347	#d7191c
COL5A2__ext	0.211	#d7191c
COMP__ecm	0.202	#d7191c
CTGF__ext	0.242	#d7191c
EGR1__cyto	0.439	#d7191c
FSP1__pm	-0.356	#2c7fb8
IFI27__mito	0.583	#d7191c
IFI6__cyto	0.319	#d7191c
IFIT3__cyto	0.212	#d7191c
IFITM1__cyto	0.202	#d7191c
ISG15__cyto	0.237	#d7191c
POSTN__ecm	0.481	#d7191c
SOCS3__cyto	0.224	#d7191c
STAT1__cyto	0.244	#d7191c
TGFBR2__cyto	0.262	#d7191c
VWF__pm	0.274	#d7191c
XAF1__cyto	0.226	#d7191c
